Date,Daily_cases,Cumulative_cases,Daily_deaths,Cumulative_deaths,Daily_vaccinations,Open,Close
2020/3/17,1822,3540,17,58,0,7072,7334.779785
2020/3/18,820,4360,21,79,0,6902.319824,6989.839844
2020/3/19,6082,10442,71,150,0,6996.450195,7150.580078
2020/3/20,4777,15219,51,201,0,7248.069824,6879.52002
2020/3/23,16354,31573,201,402,0,6847.279785,6860.669922
2020/3/24,10591,42164,69,471,0,7196.149902,7417.859863
2020/3/25,9750,51914,202,673,0,7421.359863,7384.299805
2020/3/26,11656,63570,211,884,0,7462.209961,7797.540039
2020/3/27,4764,68334,107,991,0,7554.25,7502.379883
2020/3/30,19332,122653,444,2112,0,7583.459961,7774.149902
2020/3/31,17987,140640,286,2398,0,7740.060059,7700.100098
2020/4/1,22559,163199,452,2850,0,7459.5,7360.580078
2020/4/2,24103,187302,996,3846,0,7317.450195,7487.310059
2020/4/3,26298,213600,947,4793,0,7477.27002,7373.080078
2020/4/6,33510,307318,1338,8358,0,7660.169922,7913.240234
2020/4/7,26493,333811,1201,9559,0,8129.990234,7887.259766
2020/4/8,29510,363321,1286,10845,0,7975.720215,8090.899902
2020/4/9,31709,395030,1895,12740,0,8169.009766,8153.580078
2020/4/13,31633,524514,1928,20444,0,8127.689941,8192.419922
2020/4/14,29308,553822,1528,21972,0,8353.209961,8515.740234
2020/4/15,24446,578268,1504,23476,0,8355.959961,8393.179688
2020/4/16,25802,604070,2395,25871,0,8479.110352,8532.360352
2020/4/17,28711,632781,6409,32280,0,8667.480469,8650.139648
2020/4/20,28252,723605,1776,38512,0,8553.379883,8560.730469
2020/4/21,27668,751273,1801,40313,0,8460.69043,8263.230469
2020/4/22,25634,776907,2154,42467,0,8434.549805,8495.379883
2020/4/23,24019,800926,2575,45042,0,8528.839844,8494.75
2020/4/24,29127,830053,2390,47432,0,8530.080078,8634.519531
2020/4/27,32417,931698,1964,53289,0,8717.980469,8730.160156
2020/4/28,29218,960916,1109,54398,0,8825.69043,8607.730469
2020/4/29,22541,983457,1322,55720,0,8802.700195,8914.709961
2020/4/30,20517,1003974,2010,57730,0,8911.019531,8889.549805
2020/5/1,31379,1035353,2902,60632,0,8681.290039,8604.950195
2020/5/4,31839,1125719,156,67793,0,8555.320313,8710.709961
2020/5/5,29266,1154985,-514,67279,0,8809.660156,8809.120117
2020/5/6,16200,1171185,802,68081,0,8874.700195,8854.389648
2020/5/7,22267,1193452,2475,70556,0,8973.780273,8979.660156
2020/5/8,22119,1215571,1968,72524,0,9056.889648,9121.320313
2020/5/11,26642,1298287,1736,78652,0,9054.910156,9192.339844
2020/5/12,23767,1322054,982,79634,0,9225.150391,9002.549805
2020/5/13,18044,1340098,1061,80695,0,9006.049805,8863.169922
2020/5/14,21424,1361522,1424,82119,0,8788.040039,8943.719727
2020/5/15,20840,1382362,1700,83819,0,8839.990234,9014.55957
2020/5/18,31967,1464232,1394,88574,0,9177.150391,9234.830078
2020/5/19,13227,1477459,697,89271,0,9227.459961,9185.099609
2020/5/20,24417,1501876,932,90203,0,9305.620117,9375.780273
2020/5/21,23310,1525186,1324,91527,0,9375.19043,9284.879883
2020/5/22,22787,1547973,1396,92923,0,9278.549805,9324.589844
2020/5/26,15253,1634010,620,97529,0,9501.209961,9340.219727
2020/5/27,24886,1658896,590,98119,0,9346.120117,9412.360352
2020/5/28,16362,1675258,770,98889,0,9392.990234,9368.990234
2020/5/29,19606,1694864,1415,100304,0,9382.349609,9489.870117
2020/6/1,23482,1757522,914,103554,0,9471.419922,9552.049805
2020/6/2,26116,1783638,693,104247,0,9566.530273,9608.379883
2020/6/3,14692,1798330,761,105008,0,9651.860352,9682.910156
2020/6/4,24890,1823220,1043,106051,0,9649.650391,9615.80957
2020/6/5,14583,1837803,825,106876,0,9703.540039,9814.080078
2020/6/8,28918,1915712,708,109746,0,9823.44043,9924.75
2020/6/9,17848,1933560,474,110220,0,9867.19043,9953.75
